Customer_ID,Car_Model,Purchase_Date,Last_Service_Date,Mileage_at_Last_Service,Avg_Daily_Mileage,Returned_for_Service
1,Nissan,2023-09-10,2025-12-26,36309,40,1
2,Nissan,2017-05-10,2018-06-06,75230,47,1
3,Nissan,2018-07-18,2019-10-03,50027,45,1
4,Nissan,2018-02-04,2019-09-07,92541,52,1
5,Nissan,2017-12-31,2020-01-20,79321,40,0
6,Nissan,2023-06-20,2025-06-18,20956,54,1
7,Nissan,2019-06-27,2022-04-22,94131,53,0
8,Nissan,2020-12-09,2023-05-18,67908,37,0
9,Nissan,2016-04-11,2019-03-10,98339,30,0
10,Nissan,2018-05-23,2020-03-29,45963,42,1
11,Nissan,2015-11-27,2016-12-02,59443,41,1
12,Nissan,2019-01-22,2020-01-24,59063,36,0
13,Nissan,2020-11-05,2023-07-20,24703,24,0
14,Nissan,2023-09-07,2025-09-03,85128,30,1
15,Nissan,2022-12-29,2025-05-19,92099,49,0
16,Nissan,2015-05-11,2017-02-07,45849,34,1
17,Nissan,2019-08-13,2021-12-30,51860,46,1
18,Nissan,2017-02-08,2018-02-22,51585,54,0
19,Nissan,2021-07-19,2023-01-26,42015,52,0
20,Nissan,2019-02-24,2021-11-15,97539,39,1
21,Nissan,2022-10-24,2025-02-19,63585,35,1
22,Nissan,2021-08-30,2022-09-26,46958,53,0
23,Nissan,2018-04-30,2021-04-12,46017,21,1
24,Nissan,2017-08-13,2018-09-20,96707,54,0
25,Nissan,2021-05-13,2023-02-09,65350,59,0
26,Nissan,2018-03-30,2019-11-15,32201,47,1
27,Nissan,2016-04-04,2017-06-28,49426,58,1
28,Nissan,2015-01-22,2017-05-09,37778,25,0
29,Nissan,2021-04-19,2022-08-22,65241,28,1
30,Nissan,2017-01-17,2019-07-07,62229,39,0
31,Nissan,2022-12-14,2024-05-06,68364,20,0
32,Nissan,2016-04-19,2018-09-25,77056,27,0
33,Nissan,2017-12-18,2019-07-17,47490,42,1
34,Nissan,2022-01-02,2023-01-26,39975,22,0
35,Nissan,2020-08-09,2023-03-11,46723,23,0
36,Nissan,2022-07-10,2024-08-06,43279,44,0
37,Nissan,2017-09-02,2018-11-07,98301,57,1
38,Nissan,2019-12-12,2021-07-31,31561,34,1
39,Nissan,2015-07-09,2016-10-24,86061,40,1
40,Nissan,2023-03-25,2024-08-16,69153,54,0
41,Nissan,2022-06-27,2023-10-15,53142,33,1
42,Nissan,2023-03-25,2024-11-06,46916,55,0
43,Nissan,2016-07-16,2017-11-03,84324,31,1
44,Nissan,2020-03-14,2022-06-26,64965,36,1
